subject_line,open_rate,click_rate,email_type,audience,tone
Your Application Status,36,52,Follow-up,Client,Friendly
Last Chance to Apply,82,11,Job,Customer,Formal
Urgent: Interview Update,40,18,Marketing,HR,Friendly
Internship Opportunity,61,19,Announcement,Professor,Formal
Last Chance to Apply,79,32,Follow-up,Professor,Friendly
Important Job Opportunity,83,26,Job,HR,Persuasive
Your Application Status,57,59,Follow-up,Professor,Formal
Quick Follow-Up,69,12,Announcement,HR,Urgent
Project Update,91,60,Follow-up,Client,Formal
Urgent: Interview Update,77,19,Follow-up,HR,Friendly
Your Application Status,59,22,Announcement,Professor,Friendly
Exclusive Offer Inside,57,18,Follow-up,HR,Friendly
Internship Opportunity,81,20,Marketing,Customer,Persuasive
Meeting Reminder,94,45,Marketing,Professor,Formal
Important Job Opportunity,87,7,Follow-up,Customer,Urgent
Your Application Status,48,41,Follow-up,Client,Persuasive
Action Required Today,91,46,Announcement,Client,Urgent
Last Chance to Apply,50,52,Follow-up,Customer,Persuasive
Exclusive Offer Inside,49,13,Announcement,HR,Formal
Your Application Status,44,45,Marketing,Customer,Formal
Action Required Today,59,43,Announcement,Professor,Formal
Your Application Status,78,39,Follow-up,Professor,Formal
Meeting Reminder,62,15,Announcement,HR,Urgent
Internship Opportunity,83,16,Job,Professor,Friendly
Last Chance to Apply,58,53,Marketing,HR,Urgent
Quick Follow-Up,36,12,Follow-up,Professor,Friendly
Urgent: Interview Update,50,41,Job,HR,Persuasive
Your Application Status,83,39,Marketing,Client,Persuasive
Internship Opportunity,45,21,Announcement,Client,Friendly
Meeting Reminder,60,47,Follow-up,Customer,Persuasive
Your Application Status,50,19,Job,Professor,Formal
Project Update,70,19,Marketing,HR,Formal
Urgent: Interview Update,49,9,Job,Professor,Formal
Internship Opportunity,50,22,Announcement,Client,Friendly
Project Update,71,35,Marketing,Customer,Persuasive
Important Job Opportunity,41,11,Announcement,Professor,Persuasive
Action Required Today,64,60,Job,HR,Formal
Action Required Today,81,26,Job,Client,Friendly
Important Job Opportunity,69,33,Marketing,Customer,Friendly
Meeting Reminder,64,20,Job,Customer,Formal
Urgent: Interview Update,76,39,Job,HR,Friendly
Last Chance to Apply,61,36,Announcement,Client,Persuasive
Urgent: Interview Update,45,29,Job,Customer,Urgent
Quick Follow-Up,53,32,Announcement,Client,Friendly
Meeting Reminder,48,8,Job,Professor,Formal
Urgent: Interview Update,72,35,Marketing,HR,Formal
Last Chance to Apply,39,43,Job,Client,Persuasive
Your Application Status,95,41,Marketing,HR,Formal
Action Required Today,77,42,Follow-up,Professor,Friendly
Exclusive Offer Inside,50,21,Announcement,Client,Urgent
Quick Follow-Up,55,53,Job,HR,Persuasive
Project Update,71,11,Job,Client,Urgent
Last Chance to Apply,94,27,Job,Client,Urgent
Meeting Reminder,45,33,Follow-up,HR,Urgent
Your Application Status,95,13,Follow-up,HR,Formal
Internship Opportunity,44,22,Follow-up,Client,Urgent
Important Job Opportunity,78,45,Follow-up,Customer,Urgent
Urgent: Interview Update,40,45,Announcement,Professor,Formal
Urgent: Interview Update,56,54,Marketing,Professor,Friendly
Quick Follow-Up,70,50,Announcement,HR,Formal
Your Application Status,95,49,Marketing,HR,Urgent
Project Update,70,14,Announcement,Client,Formal
Meeting Reminder,58,55,Job,Professor,Friendly
Important Job Opportunity,77,11,Follow-up,Customer,Friendly
Important Job Opportunity,90,15,Marketing,Customer,Formal
Last Chance to Apply,82,26,Announcement,Client,Urgent
Last Chance to Apply,85,49,Job,Customer,Formal
Quick Follow-Up,49,17,Announcement,Professor,Urgent
Important Job Opportunity,49,6,Marketing,Customer,Urgent
Meeting Reminder,90,9,Follow-up,Professor,Persuasive
Internship Opportunity,56,6,Job,Professor,Friendly
Project Update,51,7,Job,Customer,Urgent
Exclusive Offer Inside,62,43,Job,Customer,Friendly
Meeting Reminder,37,50,Announcement,HR,Friendly
Exclusive Offer Inside,62,9,Follow-up,Professor,Formal
Meeting Reminder,67,24,Announcement,Professor,Persuasive
Meeting Reminder,70,13,Marketing,Customer,Persuasive
Last Chance to Apply,74,41,Follow-up,Customer,Formal
Meeting Reminder,53,18,Announcement,Professor,Persuasive
Quick Follow-Up,63,48,Marketing,Customer,Friendly
Your Application Status,53,37,Follow-up,HR,Friendly
Meeting Reminder,49,56,Marketing,Client,Formal
Urgent: Interview Update,50,35,Job,Customer,Persuasive
Project Update,47,50,Announcement,Customer,Persuasive
Important Job Opportunity,44,46,Job,HR,Persuasive
Important Job Opportunity,46,56,Announcement,HR,Friendly
Your Application Status,64,13,Announcement,Professor,Persuasive
Project Update,87,51,Announcement,Customer,Friendly
Quick Follow-Up,63,21,Marketing,Professor,Persuasive
Important Job Opportunity,52,33,Job,Professor,Friendly
Meeting Reminder,56,25,Job,Client,Friendly
Important Job Opportunity,59,49,Marketing,Client,Formal
Action Required Today,61,26,Announcement,Customer,Formal
Important Job Opportunity,88,31,Announcement,HR,Persuasive
Quick Follow-Up,35,27,Follow-up,Customer,Persuasive
Internship Opportunity,82,52,Marketing,Customer,Friendly
Meeting Reminder,62,36,Job,Customer,Urgent
Action Required Today,81,15,Announcement,Client,Formal
Action Required Today,72,41,Job,HR,Persuasive
Last Chance to Apply,90,34,Marketing,HR,Urgent
Action Required Today,55,18,Announcement,Professor,Urgent
Action Required Today,52,53,Announcement,Professor,Formal
Quick Follow-Up,36,52,Job,Professor,Friendly
Your Application Status,84,46,Job,HR,Friendly
Important Job Opportunity,88,6,Marketing,Client,Friendly
Quick Follow-Up,77,12,Marketing,Customer,Urgent
Exclusive Offer Inside,45,43,Job,Client,Urgent
Your Application Status,72,6,Follow-up,Customer,Persuasive
Important Job Opportunity,39,42,Marketing,HR,Urgent
Project Update,86,12,Job,Professor,Persuasive
Exclusive Offer Inside,39,37,Follow-up,HR,Persuasive
Quick Follow-Up,41,32,Follow-up,Customer,Friendly
Action Required Today,46,51,Follow-up,Customer,Persuasive
Action Required Today,87,51,Follow-up,Professor,Friendly
Your Application Status,52,33,Marketing,Customer,Persuasive
Exclusive Offer Inside,36,36,Follow-up,Client,Persuasive
Important Job Opportunity,57,56,Follow-up,Professor,Urgent
Project Update,79,22,Job,Client,Formal
Important Job Opportunity,81,31,Announcement,Client,Persuasive
Quick Follow-Up,63,55,Job,HR,Urgent
Important Job Opportunity,60,49,Marketing,Professor,Urgent
Quick Follow-Up,70,38,Follow-up,Customer,Urgent
Exclusive Offer Inside,79,34,Follow-up,Professor,Urgent
Important Job Opportunity,42,51,Marketing,Professor,Formal
Internship Opportunity,95,53,Marketing,Client,Friendly
Quick Follow-Up,52,51,Follow-up,HR,Friendly
Meeting Reminder,49,28,Marketing,Professor,Formal
Internship Opportunity,43,22,Job,HR,Urgent
Last Chance to Apply,75,60,Announcement,HR,Formal
Project Update,53,35,Announcement,Customer,Urgent
Last Chance to Apply,38,21,Announcement,HR,Formal
Action Required Today,66,9,Job,Client,Friendly
Project Update,95,24,Job,Client,Formal
Internship Opportunity,83,31,Marketing,Customer,Persuasive
Quick Follow-Up,54,60,Announcement,Professor,Formal
Project Update,82,11,Marketing,Client,Urgent
Your Application Status,45,20,Marketing,HR,Friendly
Urgent: Interview Update,61,33,Announcement,Professor,Formal
Important Job Opportunity,53,50,Follow-up,Customer,Formal
Important Job Opportunity,94,21,Marketing,Customer,Formal
Internship Opportunity,49,46,Marketing,Professor,Friendly
Your Application Status,38,15,Follow-up,Professor,Persuasive
Your Application Status,64,49,Follow-up,Customer,Urgent
Internship Opportunity,69,36,Announcement,HR,Formal
Action Required Today,82,25,Follow-up,HR,Formal
Important Job Opportunity,78,58,Job,Professor,Formal
Last Chance to Apply,65,38,Announcement,Professor,Friendly
Project Update,62,45,Announcement,HR,Persuasive
Exclusive Offer Inside,61,26,Follow-up,HR,Friendly
Exclusive Offer Inside,61,49,Announcement,Professor,Persuasive
Internship Opportunity,37,34,Job,Professor,Urgent
Exclusive Offer Inside,42,54,Announcement,HR,Persuasive
Action Required Today,38,17,Follow-up,Customer,Persuasive
Urgent: Interview Update,48,22,Marketing,Professor,Persuasive
Quick Follow-Up,42,6,Marketing,Client,Urgent
Internship Opportunity,35,40,Announcement,HR,Friendly
Your Application Status,64,12,Marketing,Customer,Urgent
Internship Opportunity,80,22,Announcement,Customer,Persuasive
Important Job Opportunity,64,40,Marketing,Customer,Friendly
Project Update,67,52,Marketing,HR,Urgent
Action Required Today,56,55,Follow-up,HR,Urgent
Meeting Reminder,88,42,Announcement,Client,Persuasive
Internship Opportunity,65,27,Follow-up,Customer,Persuasive
Exclusive Offer Inside,90,17,Marketing,Customer,Friendly
Action Required Today,37,25,Announcement,Customer,Persuasive
Last Chance to Apply,66,7,Marketing,Professor,Formal
Quick Follow-Up,41,38,Announcement,HR,Friendly
Action Required Today,90,46,Marketing,HR,Persuasive
Meeting Reminder,56,44,Announcement,HR,Urgent
Internship Opportunity,59,25,Announcement,HR,Formal
Important Job Opportunity,75,48,Follow-up,Client,Formal
Action Required Today,41,53,Job,Customer,Friendly
Meeting Reminder,92,6,Job,Professor,Formal
Meeting Reminder,57,28,Announcement,Client,Friendly
Internship Opportunity,61,41,Marketing,Client,Friendly
Your Application Status,74,60,Announcement,Client,Persuasive
Project Update,44,19,Announcement,Professor,Persuasive
Meeting Reminder,77,5,Announcement,Professor,Friendly
Your Application Status,63,27,Follow-up,Customer,Urgent
Quick Follow-Up,89,24,Marketing,Customer,Persuasive
Your Application Status,50,29,Follow-up,Professor,Urgent
Urgent: Interview Update,88,47,Announcement,Professor,Formal
Project Update,90,48,Job,Customer,Urgent
Important Job Opportunity,73,56,Follow-up,Client,Friendly
Project Update,51,48,Marketing,HR,Formal
Meeting Reminder,85,33,Job,Professor,Friendly
Your Application Status,93,23,Follow-up,Customer,Friendly
Important Job Opportunity,43,55,Follow-up,Professor,Friendly
Meeting Reminder,93,57,Announcement,Professor,Urgent
Your Application Status,64,9,Marketing,Client,Persuasive
Internship Opportunity,58,10,Announcement,HR,Urgent
Internship Opportunity,42,34,Follow-up,Professor,Persuasive
Exclusive Offer Inside,41,48,Marketing,Customer,Formal
Project Update,91,40,Follow-up,Client,Formal
Quick Follow-Up,93,49,Follow-up,Customer,Formal
Last Chance to Apply,37,7,Follow-up,Customer,Formal
Your Application Status,50,39,Marketing,Customer,Persuasive
Exclusive Offer Inside,77,52,Announcement,Client,Persuasive
Your Application Status,88,36,Announcement,Professor,Formal
Exclusive Offer Inside,48,33,Announcement,Client,Urgent
Your Application Status,78,28,Follow-up,HR,Persuasive
Meeting Reminder,47,12,Announcement,HR,Friendly
Project Update,36,8,Follow-up,Client,Friendly
Project Update,48,9,Marketing,Client,Friendly
Exclusive Offer Inside,84,14,Job,Professor,Friendly
Last Chance to Apply,69,21,Marketing,HR,Formal
Last Chance to Apply,35,27,Marketing,Professor,Formal
Last Chance to Apply,51,8,Marketing,Customer,Formal
Your Application Status,65,33,Follow-up,HR,Persuasive
Internship Opportunity,49,44,Job,Professor,Persuasive
Urgent: Interview Update,38,35,Announcement,Customer,Formal
Quick Follow-Up,80,33,Job,HR,Urgent
Project Update,44,9,Marketing,Professor,Urgent
Action Required Today,73,38,Follow-up,Customer,Persuasive
Your Application Status,85,49,Job,Client,Persuasive
Quick Follow-Up,91,19,Announcement,Professor,Persuasive
Action Required Today,61,51,Job,Professor,Persuasive
Exclusive Offer Inside,77,21,Follow-up,Client,Persuasive
Your Application Status,40,58,Job,HR,Persuasive
Your Application Status,82,52,Follow-up,Client,Formal
Project Update,70,40,Follow-up,HR,Persuasive
Exclusive Offer Inside,90,47,Announcement,HR,Urgent
Project Update,54,27,Job,Client,Friendly
Quick Follow-Up,49,59,Job,Professor,Urgent
Your Application Status,83,22,Marketing,Customer,Formal
Project Update,94,47,Follow-up,HR,Friendly
Meeting Reminder,79,53,Follow-up,Professor,Urgent
Urgent: Interview Update,46,60,Marketing,Customer,Formal
Last Chance to Apply,82,45,Job,HR,Friendly
Action Required Today,61,34,Follow-up,Client,Urgent
Meeting Reminder,81,25,Job,HR,Friendly
Last Chance to Apply,83,44,Job,HR,Urgent
Quick Follow-Up,77,32,Announcement,Customer,Persuasive
Meeting Reminder,48,53,Job,Professor,Persuasive
Your Application Status,53,48,Announcement,Professor,Formal
Important Job Opportunity,60,43,Job,HR,Friendly
Meeting Reminder,95,18,Marketing,Professor,Urgent
Exclusive Offer Inside,42,5,Announcement,Customer,Friendly
Last Chance to Apply,59,39,Marketing,Professor,Formal
Action Required Today,90,52,Job,Customer,Formal
Quick Follow-Up,93,9,Follow-up,Customer,Persuasive
Action Required Today,53,12,Announcement,HR,Urgent
Last Chance to Apply,86,44,Announcement,Professor,Formal
Action Required Today,89,11,Marketing,Customer,Persuasive
Internship Opportunity,40,30,Follow-up,Professor,Friendly
Exclusive Offer Inside,84,15,Job,HR,Friendly
Exclusive Offer Inside,57,51,Marketing,Client,Formal
Last Chance to Apply,51,17,Marketing,Client,Formal
Last Chance to Apply,95,54,Announcement,Customer,Persuasive
Project Update,76,45,Follow-up,Professor,Friendly
Quick Follow-Up,39,35,Announcement,Professor,Urgent
Project Update,38,27,Job,Professor,Persuasive
Quick Follow-Up,37,8,Follow-up,Professor,Formal
Your Application Status,74,43,Announcement,Customer,Formal
Quick Follow-Up,93,56,Marketing,Professor,Persuasive
Internship Opportunity,44,8,Announcement,HR,Urgent
Your Application Status,67,46,Marketing,HR,Friendly
Quick Follow-Up,63,38,Marketing,Professor,Urgent
Meeting Reminder,59,31,Follow-up,HR,Urgent
Your Application Status,56,11,Announcement,Professor,Urgent
Project Update,90,14,Follow-up,HR,Friendly
Exclusive Offer Inside,54,46,Announcement,Client,Formal
Meeting Reminder,70,29,Follow-up,Client,Formal
Action Required Today,67,28,Job,Professor,Urgent
Last Chance to Apply,95,18,Follow-up,Customer,Friendly
Important Job Opportunity,43,14,Job,Professor,Formal
Internship Opportunity,84,39,Job,Professor,Friendly
Project Update,59,14,Marketing,Client,Friendly
Quick Follow-Up,37,31,Follow-up,Client,Persuasive
Project Update,53,53,Announcement,Client,Friendly
Meeting Reminder,86,55,Announcement,Client,Urgent
Project Update,63,34,Follow-up,Customer,Persuasive
Last Chance to Apply,87,17,Marketing,Professor,Formal
Quick Follow-Up,90,28,Job,HR,Urgent
Your Application Status,83,15,Follow-up,Customer,Friendly
Action Required Today,40,19,Announcement,Professor,Formal
Action Required Today,38,30,Follow-up,Client,Persuasive
Your Application Status,58,19,Job,Professor,Formal
Exclusive Offer Inside,85,14,Marketing,HR,Urgent
Quick Follow-Up,79,58,Marketing,Customer,Persuasive
Project Update,35,10,Job,Professor,Friendly
Last Chance to Apply,70,51,Announcement,HR,Urgent
Important Job Opportunity,54,12,Job,Client,Persuasive
Project Update,64,9,Job,Customer,Formal
Internship Opportunity,71,20,Marketing,Professor,Persuasive
Urgent: Interview Update,74,27,Marketing,Customer,Friendly
Your Application Status,68,28,Job,HR,Persuasive
Quick Follow-Up,37,45,Announcement,Professor,Urgent
Urgent: Interview Update,57,55,Job,Professor,Friendly
Your Application Status,84,42,Follow-up,Client,Formal
Exclusive Offer Inside,69,26,Marketing,Customer,Persuasive
Last Chance to Apply,86,13,Job,Customer,Formal
Meeting Reminder,47,7,Marketing,HR,Urgent
Meeting Reminder,67,30,Announcement,Professor,Formal
Important Job Opportunity,53,27,Job,Professor,Urgent
Your Application Status,86,28,Announcement,Customer,Persuasive
Action Required Today,56,16,Announcement,Customer,Urgent
Internship Opportunity,52,56,Job,Customer,Formal
Action Required Today,73,57,Marketing,Professor,Urgent
Your Application Status,40,25,Follow-up,Professor,Persuasive
Project Update,80,32,Marketing,Customer,Urgent
Quick Follow-Up,37,51,Follow-up,Customer,Urgent
Urgent: Interview Update,39,47,Announcement,Professor,Friendly
Urgent: Interview Update,44,59,Announcement,HR,Friendly
Your Application Status,50,54,Follow-up,Professor,Persuasive
Project Update,37,43,Marketing,Customer,Urgent
Exclusive Offer Inside,63,53,Job,Client,Urgent
Action Required Today,55,46,Follow-up,Client,Formal
Urgent: Interview Update,82,16,Announcement,Customer,Formal
Meeting Reminder,84,21,Announcement,Client,Urgent
Quick Follow-Up,47,12,Marketing,HR,Persuasive
Last Chance to Apply,92,50,Announcement,HR,Urgent
Exclusive Offer Inside,80,9,Follow-up,Professor,Friendly
Last Chance to Apply,85,28,Marketing,HR,Friendly
Last Chance to Apply,50,55,Announcement,HR,Urgent
Internship Opportunity,71,28,Announcement,Client,Formal
Your Application Status,54,30,Announcement,Customer,Persuasive
Project Update,39,13,Follow-up,HR,Persuasive
Quick Follow-Up,78,38,Follow-up,Client,Friendly
Last Chance to Apply,62,37,Job,HR,Friendly
Meeting Reminder,45,15,Follow-up,Client,Urgent
Internship Opportunity,92,23,Job,Professor,Friendly
Internship Opportunity,52,13,Follow-up,HR,Friendly
Project Update,95,42,Marketing,Client,Urgent
Project Update,37,57,Job,HR,Formal
Project Update,51,46,Marketing,Customer,Formal
Quick Follow-Up,91,45,Follow-up,Professor,Persuasive
Important Job Opportunity,86,56,Announcement,Professor,Persuasive
Your Application Status,79,8,Marketing,Customer,Persuasive
Quick Follow-Up,64,18,Follow-up,Client,Urgent
Exclusive Offer Inside,81,60,Follow-up,Customer,Friendly
Exclusive Offer Inside,67,40,Job,Professor,Friendly
Quick Follow-Up,42,22,Announcement,Client,Friendly
Your Application Status,38,23,Announcement,Customer,Friendly
Last Chance to Apply,87,25,Follow-up,Client,Friendly
Quick Follow-Up,67,34,Announcement,Professor,Persuasive
Urgent: Interview Update,40,30,Announcement,Client,Friendly
Project Update,57,8,Job,Professor,Persuasive
Project Update,91,58,Announcement,Professor,Formal
Your Application Status,62,13,Follow-up,Professor,Persuasive
Exclusive Offer Inside,37,30,Job,Client,Urgent
Internship Opportunity,53,9,Announcement,Customer,Urgent
Project Update,78,44,Job,Client,Formal
Action Required Today,58,55,Follow-up,Professor,Friendly
Important Job Opportunity,73,37,Announcement,HR,Formal
Urgent: Interview Update,43,50,Follow-up,Customer,Persuasive
Last Chance to Apply,73,37,Marketing,Professor,Urgent
Last Chance to Apply,60,44,Follow-up,Professor,Persuasive
Project Update,54,35,Job,Professor,Urgent
Your Application Status,61,42,Follow-up,HR,Persuasive
Meeting Reminder,76,55,Marketing,HR,Persuasive
Last Chance to Apply,68,45,Announcement,Client,Friendly
Urgent: Interview Update,71,49,Job,Client,Formal
Quick Follow-Up,55,31,Marketing,Customer,Friendly
Action Required Today,67,54,Announcement,HR,Friendly
Internship Opportunity,48,40,Follow-up,Customer,Persuasive
Exclusive Offer Inside,46,34,Follow-up,Professor,Urgent
Project Update,65,17,Marketing,Professor,Urgent
Important Job Opportunity,95,24,Follow-up,Client,Persuasive
Exclusive Offer Inside,65,27,Follow-up,Professor,Formal
Project Update,78,39,Announcement,Customer,Urgent
Last Chance to Apply,53,7,Follow-up,HR,Urgent
Quick Follow-Up,76,21,Announcement,Client,Friendly
Internship Opportunity,52,40,Follow-up,Client,Formal
Project Update,82,42,Marketing,Client,Formal
Internship Opportunity,49,45,Marketing,HR,Formal
Action Required Today,56,50,Announcement,HR,Friendly
Urgent: Interview Update,70,15,Announcement,Customer,Persuasive
Important Job Opportunity,83,23,Follow-up,Professor,Formal
Your Application Status,76,41,Marketing,HR,Friendly
Action Required Today,91,58,Marketing,HR,Persuasive
Quick Follow-Up,46,52,Follow-up,HR,Formal
Meeting Reminder,71,43,Job,Professor,Urgent
Quick Follow-Up,76,39,Announcement,Client,Persuasive
Meeting Reminder,47,56,Job,Professor,Friendly
Quick Follow-Up,76,21,Marketing,HR,Urgent
Meeting Reminder,71,48,Marketing,Client,Persuasive
Action Required Today,67,25,Job,Customer,Formal
Last Chance to Apply,43,35,Follow-up,Client,Formal
Meeting Reminder,59,20,Announcement,Professor,Urgent
Meeting Reminder,72,51,Job,Professor,Urgent
Important Job Opportunity,38,47,Job,Customer,Urgent
Last Chance to Apply,60,48,Follow-up,HR,Urgent
Exclusive Offer Inside,74,19,Marketing,Client,Persuasive
Last Chance to Apply,64,52,Follow-up,Customer,Persuasive
Internship Opportunity,86,47,Marketing,Client,Formal
Internship Opportunity,63,38,Follow-up,HR,Formal
Urgent: Interview Update,88,40,Marketing,Client,Friendly
Exclusive Offer Inside,89,38,Announcement,HR,Friendly
Project Update,66,10,Announcement,HR,Persuasive
Last Chance to Apply,67,31,Announcement,HR,Persuasive
Meeting Reminder,81,6,Announcement,Professor,Formal
Important Job Opportunity,72,9,Job,Customer,Urgent
Your Application Status,69,8,Job,Customer,Formal
Meeting Reminder,61,16,Marketing,Customer,Urgent
Action Required Today,63,60,Announcement,Customer,Formal
Internship Opportunity,43,46,Follow-up,HR,Friendly
Internship Opportunity,60,38,Marketing,Client,Formal
Urgent: Interview Update,54,34,Announcement,Customer,Friendly
Important Job Opportunity,64,27,Marketing,Professor,Friendly
Your Application Status,37,56,Announcement,HR,Friendly
Important Job Opportunity,39,11,Job,Customer,Formal
Important Job Opportunity,82,7,Announcement,Customer,Friendly
Internship Opportunity,48,53,Job,Client,Urgent
Important Job Opportunity,87,51,Follow-up,Professor,Friendly
Meeting Reminder,91,14,Marketing,Customer,Urgent
Meeting Reminder,38,40,Marketing,Customer,Persuasive
Urgent: Interview Update,57,46,Announcement,Professor,Persuasive
Action Required Today,44,24,Announcement,Client,Persuasive
Important Job Opportunity,89,19,Follow-up,Client,Persuasive
Urgent: Interview Update,70,31,Announcement,Client,Persuasive
Important Job Opportunity,51,18,Follow-up,HR,Persuasive
Exclusive Offer Inside,40,39,Marketing,HR,Urgent
Action Required Today,78,43,Job,HR,Friendly
Project Update,81,47,Marketing,Customer,Friendly
Exclusive Offer Inside,54,5,Marketing,Client,Formal
Quick Follow-Up,93,20,Marketing,Customer,Friendly
Internship Opportunity,55,54,Follow-up,Customer,Persuasive
Internship Opportunity,76,27,Follow-up,Professor,Urgent
Internship Opportunity,91,36,Announcement,HR,Persuasive
Exclusive Offer Inside,93,18,Follow-up,Professor,Persuasive
Urgent: Interview Update,71,60,Marketing,Client,Formal
Meeting Reminder,70,42,Announcement,Professor,Friendly
Important Job Opportunity,56,19,Announcement,Client,Persuasive
Internship Opportunity,76,48,Follow-up,Professor,Persuasive
Quick Follow-Up,64,15,Follow-up,Client,Friendly
Internship Opportunity,66,16,Job,HR,Formal
Urgent: Interview Update,83,5,Announcement,Client,Friendly
Your Application Status,80,14,Job,Client,Persuasive
Exclusive Offer Inside,38,44,Announcement,Customer,Formal
Urgent: Interview Update,69,40,Announcement,HR,Formal
Internship Opportunity,81,22,Follow-up,HR,Persuasive
Last Chance to Apply,41,11,Marketing,Client,Friendly
Project Update,68,21,Follow-up,Professor,Persuasive
Your Application Status,58,30,Announcement,Client,Friendly
Meeting Reminder,78,57,Job,HR,Formal
Action Required Today,59,29,Announcement,HR,Formal
Last Chance to Apply,40,36,Announcement,Professor,Formal
Internship Opportunity,93,7,Marketing,Client,Persuasive
Meeting Reminder,37,9,Follow-up,HR,Friendly
Exclusive Offer Inside,36,18,Marketing,Customer,Formal
Meeting Reminder,45,41,Marketing,Customer,Urgent
Action Required Today,83,52,Marketing,HR,Urgent
Urgent: Interview Update,41,32,Marketing,HR,Urgent
Project Update,84,44,Announcement,Professor,Formal
Meeting Reminder,85,33,Announcement,Client,Urgent
Internship Opportunity,95,29,Announcement,Client,Persuasive
Your Application Status,84,44,Follow-up,Client,Formal
Your Application Status,52,14,Announcement,Client,Persuasive
Exclusive Offer Inside,58,11,Job,HR,Urgent
Quick Follow-Up,58,53,Follow-up,HR,Friendly
Your Application Status,46,32,Announcement,Customer,Formal
Urgent: Interview Update,40,27,Job,Professor,Persuasive
Urgent: Interview Update,53,31,Announcement,HR,Friendly
Project Update,68,15,Announcement,Client,Friendly
Meeting Reminder,54,22,Announcement,Client,Formal
Last Chance to Apply,62,22,Announcement,Professor,Persuasive
Your Application Status,58,21,Marketing,Customer,Friendly
Quick Follow-Up,41,13,Follow-up,HR,Persuasive
Exclusive Offer Inside,88,44,Announcement,Professor,Persuasive
Exclusive Offer Inside,62,57,Marketing,Professor,Urgent
Project Update,95,49,Marketing,Customer,Urgent
Last Chance to Apply,60,25,Follow-up,Customer,Friendly
Exclusive Offer Inside,59,22,Announcement,Professor,Formal
Project Update,47,42,Marketing,HR,Persuasive
Important Job Opportunity,63,56,Follow-up,HR,Persuasive
Quick Follow-Up,43,45,Follow-up,Client,Urgent
Last Chance to Apply,80,32,Announcement,HR,Persuasive
Project Update,65,42,Announcement,Customer,Formal
Exclusive Offer Inside,79,56,Job,HR,Friendly
Exclusive Offer Inside,45,46,Job,Customer,Urgent
Action Required Today,41,5,Job,Professor,Friendly
Internship Opportunity,82,38,Marketing,Customer,Urgent
Action Required Today,64,54,Marketing,Professor,Formal
Quick Follow-Up,41,23,Announcement,HR,Formal
Last Chance to Apply,57,24,Follow-up,Customer,Friendly
Internship Opportunity,65,27,Announcement,HR,Persuasive
Quick Follow-Up,55,9,Follow-up,HR,Formal
Urgent: Interview Update,89,26,Job,Client,Friendly
Internship Opportunity,46,40,Marketing,Professor,Persuasive
Quick Follow-Up,49,56,Announcement,Client,Friendly
Action Required Today,60,6,Marketing,Customer,Persuasive
Action Required Today,35,50,Marketing,Client,Urgent
Your Application Status,71,11,Marketing,Professor,Urgent
Important Job Opportunity,64,12,Follow-up,Customer,Urgent
Project Update,59,44,Announcement,HR,Urgent
Exclusive Offer Inside,89,34,Marketing,Professor,Formal
Last Chance to Apply,55,12,Marketing,Professor,Formal
Last Chance to Apply,58,49,Marketing,Customer,Persuasive
Project Update,43,41,Announcement,Customer,Friendly
Quick Follow-Up,75,39,Marketing,Client,Persuasive
Meeting Reminder,43,16,Follow-up,Customer,Formal
Exclusive Offer Inside,95,5,Announcement,Client,Friendly
Action Required Today,70,37,Announcement,Customer,Persuasive
Action Required Today,80,58,Announcement,Customer,Friendly
Your Application Status,71,6,Marketing,Professor,Formal
Meeting Reminder,49,39,Follow-up,Client,Persuasive
Project Update,82,54,Announcement,HR,Formal
Meeting Reminder,84,39,Follow-up,HR,Persuasive
Internship Opportunity,48,32,Job,Client,Urgent
